ソーセージ
ウインナー
フランクフルト
ポークビッツ
肉棒
松茸
エノキタケ
キノコ
バナナ
ぞうさん
マンモス
蛇
雁
棒
竿
釣り竿
主砲
ビッグマグナム
管
ムスコ
息子
愚息
ナウい息子
ジュニア
ジョニー
あの部分
男性の象徴
あそこ
アソコ
アレ
ナニ
ブツ
モノ
イチモツ
コネクター
連結器
ご立派様
金精様
